,chlorides,density,pH,sulphates,alcohol,quality
295,0.073,1.0001,3.05,0.64,9.5,F
296,0.086,0.9981,3.16,0.52,9.9,F
297,0.083,0.99855,3.67,0.73,9.6,F
298,0.094,0.9993,3.67,0.8,9.7,F
299,0.08,0.99845,3.68,0.71,9.6,F
300,0.086,0.9965,3.38,0.59,10.7,E
301,0.068,0.9973,3.22,0.64,10.1,E
302,0.092,0.9994,3.51,0.72,10.0,F
303,0.18600000000000005,0.996,3.39,0.54,9.5,F
304,0.112,0.9973,3.2,0.52,9.2,F
305,0.063,0.9998,3.12,0.59,9.3,E
306,0.08199999999999999,0.9966,3.36,0.52,9.4,F
307,0.213,0.9994,3.19,0.62,9.5,E
308,0.214,0.9994,3.19,0.63,9.5,E
309,0.062,0.9968,3.41,0.53,9.5,E
310,0.063,0.9998,3.12,0.59,9.3,E
311,0.07200000000000001,0.996,3.27,0.54,9.4,E
312,0.093,0.99815,3.32,0.63,9.5,E
313,0.076,0.9976,3.3,0.53,9.4,F
314,0.087,0.99645,3.39,0.68,11.0,F
315,0.096,0.9962,3.42,0.65,11.0,E
316,0.102,0.9996,3.3,0.65,10.1,F
317,0.08199999999999999,0.99865,3.3,0.64,10.4,E
318,0.083,0.9989,3.37,0.71,11.5,D
319,0.08199999999999999,0.99865,3.3,0.64,10.4,E
320,0.083,0.9989,3.37,0.71,11.5,D
321,0.09,0.99975,3.24,0.62,9.7,F
322,0.079,0.99735,3.29,0.63,9.3,F
323,0.09,0.999,3.28,0.7,9.5,E
324,0.071,1.0015,3.16,0.69,9.2,E
325,0.071,1.0015,3.16,0.69,9.2,E
326,0.121,0.9978,3.05,0.74,11.5,D
327,0.107,0.998,3.28,0.83,11.5,F
328,0.08199999999999999,1.0002,3.16,0.67,9.7,E
329,0.061,0.9981,3.18,0.62,9.5,F
330,0.122,0.998,3.23,0.66,12.5,E
331,0.122,0.998,3.23,0.66,12.5,E
332,0.066,0.9973,3.22,0.54,9.4,E
333,0.105,0.9958,3.13,0.52,11.0,F
334,0.078,0.9963,3.34,0.74,11.7,D
335,0.128,0.9992,3.17,0.84,12.2,D
336,0.052000000000000005,0.9948,3.35,0.7,12.5,E
337,0.08,0.9974,3.31,0.64,10.3,F
338,0.103,1.0008,3.16,1.0,11.5,E
339,0.08199999999999999,0.9997,3.11,1.36,9.8,D
340,0.066,1.0,3.12,1.18,9.2,E
341,0.065,0.9972,3.21,0.87,11.3,E
342,0.118,0.9982,3.3,0.75,9.8,E
343,0.118,0.9982,3.3,0.75,9.8,E
344,0.08199999999999999,1.0006,3.12,0.78,10.7,E
345,0.067,0.9979,3.6,0.81,9.9,F
346,0.07200000000000001,0.9955,3.58,0.89,12.3,D
347,0.093,0.9986,3.02,0.93,12.0,E
348,0.08900000000000001,0.9979,3.11,0.92,10.0,E
349,0.093,0.9994,3.36,0.86,9.4,E
350,0.107,1.0004,3.28,0.98,9.9,E
351,0.096,0.9994,3.35,0.83,9.4,E
352,0.09,0.9974,3.27,0.73,9.3,F
353,0.12,1.0018,3.18,0.77,13.0,F
354,0.066,0.9912,3.25,0.59,11.9,E
355,0.078,0.9955,3.55,0.61,12.8,E
356,0.08,1.0001,3.26,0.88,11.0,F
357,0.116,0.997,3.24,0.75,11.7,D
358,0.109,1.0,3.15,0.85,10.4,D
359,0.08800000000000001,1.001,3.17,0.68,9.8,E
360,0.099,0.9973,3.19,0.7,9.4,F
361,0.086,0.9982,3.37,0.91,9.9,E
362,0.07200000000000001,0.9992,3.05,0.56,10.0,F
363,0.071,0.9988,2.99,0.87,10.2,F
364,0.083,1.0022,3.07,0.73,10.0,D
365,0.107,0.9979,3.26,0.93,11.8,E
366,0.083,1.0022,3.07,0.73,10.0,D
367,0.076,1.0,3.16,0.69,9.0,F
368,0.159,0.9998,3.18,0.64,9.4,F
369,0.07400000000000001,0.9962,3.2,1.13,12.0,D
370,0.063,0.9975,3.57,0.78,9.9,F
371,0.056,0.9967,3.32,0.87,8.7,E
372,0.067,0.9967,3.32,1.04,10.6,E
373,0.106,0.9959,3.05,0.63,9.2,F
374,0.08900000000000001,1.0014,3.01,0.81,10.8,E
375,0.124,0.9984,3.01,0.83,11.8,D
376,0.078,1.0003,3.26,1.11,11.0,E
377,0.07400000000000001,0.9962,3.2,1.13,12.0,D
378,0.08800000000000001,0.9988,3.11,0.99,13.3,E
379,0.094,0.9979,3.31,0.7,10.8,E
380,0.08,0.9974,3.21,0.8,9.4,E
381,0.085,1.0014,3.06,0.8,10.0,E
382,0.08,0.9974,3.21,0.8,9.4,E
383,0.08,0.9974,3.21,0.8,9.4,E
384,0.087,0.998,3.42,0.74,9.2,F
385,0.09,0.9979,3.43,0.76,9.7,E
386,0.08800000000000001,0.9981,3.41,0.74,9.2,E
387,0.079,0.9972,3.31,0.54,9.6,E
388,0.08800000000000001,0.9981,3.43,0.74,9.2,E
389,0.096,0.9982,3.19,0.7,10.0,D
390,0.045,0.9924,3.56,0.82,12.9,C
391,0.085,1.0014,3.06,0.8,10.0,E
392,0.08199999999999999,0.998,3.18,0.51,9.5,F
393,0.112,0.997,3.16,0.54,9.1,F
394,0.063,0.9997,3.03,0.57,9.9,F
395,0.066,1.0004,3.22,0.6,13.0,D
396,0.122,0.9994,3.47,0.53,9.9,F
397,0.087,0.9988,3.18,0.65,11.0,E
398,0.087,0.9988,3.18,0.65,11.0,E
399,0.064,0.9963,3.1,0.55,9.4,F
400,0.122,0.9994,3.47,0.53,9.9,F
401,0.059,0.9949,3.29,0.47,10.8,E
402,0.085,1.0,3.1,0.61,10.5,E
403,0.085,0.9994,3.15,0.63,10.5,E
404,0.075,0.9974,3.26,0.61,9.1,F
405,0.059,0.9966,3.36,0.76,10.1,E
406,0.063,0.9981,3.24,0.65,10.8,E
407,0.093,0.9996,3.18,0.63,10.8,D
408,0.174,0.997,3.19,0.7,11.3,E
409,0.07,0.9981,3.05,0.57,9.6,G
410,0.08,0.9987,3.38,0.62,9.5,E
411,0.08,0.9987,3.38,0.62,9.5,F
412,0.1,0.9966,3.27,0.64,9.3,F
413,0.097,0.9986,3.27,0.82,11.7,D
414,0.087,0.9982,3.26,0.61,9.5,F
415,0.117,1.0014,3.32,1.07,9.3,F
416,0.111,0.997,3.26,0.66,11.7,E
417,0.091,0.9956,3.44,0.48,10.5,F
418,0.121,0.9996,3.24,0.76,10.4,E
419,0.066,0.9976,3.62,0.68,9.9,F
420,0.08900000000000001,0.9972,3.28,0.73,11.8,D
421,0.059,0.9952,3.52,0.56,12.3,D
422,0.047,0.9955,3.36,0.44,10.9,F
423,0.066,0.9978,3.15,0.9,11.0,D
424,0.047,0.9955,3.36,0.44,10.9,F
425,0.059,0.9952,3.52,0.56,12.3,D
426,0.045,0.9949,3.49,0.49,11.4,E
427,0.077,0.9988,3.26,0.56,10.6,E
428,0.07,0.9978,3.24,0.6,9.3,F
429,0.08800000000000001,0.9997,3.1,0.6,10.4,E
430,0.066,0.9978,3.15,0.9,11.0,D
431,0.07400000000000001,0.9974,3.25,0.56,9.2,F
432,0.078,0.9958,3.0,0.65,12.8,E
433,0.091,1.0004,3.16,0.49,9.5,F
434,0.076,0.9996,3.15,0.89,9.9,E
435,0.091,1.0004,3.16,0.49,9.5,F
436,0.06,0.9958,3.26,0.56,10.2,E
437,0.066,0.9986,3.17,0.66,11.2,E
438,0.076,0.9996,3.15,0.89,9.9,E
439,0.062,0.9951,3.08,0.6,9.3,F
440,0.07200000000000001,0.9987,2.88,0.82,9.8,C
441,0.068,0.9988,3.06,0.68,11.3,E
442,0.1,1.0032,2.95,0.68,11.2,D
443,0.077,0.9963,3.23,0.63,11.6,D
444,0.054000000000000006,0.9934,3.57,0.84,12.5,D
445,0.079,0.9986,3.23,0.56,10.1,E
446,0.081,0.9996,3.1,0.73,10.5,F
447,0.127,0.9968,3.22,0.72,11.2,F
448,0.1,0.9967,3.2,0.56,10.2,E
449,0.095,0.9994,3.1,0.61,10.8,E
450,0.095,0.9994,3.1,0.61,10.8,E
451,0.413,0.9979,3.06,1.06,9.1,E
452,0.084,0.9968,3.44,0.63,10.0,E
453,0.084,0.9998,3.26,0.74,11.2,D
454,0.063,0.9952,3.5,0.63,11.1,F
455,0.086,0.9988,3.22,0.69,13.4,C
456,0.095,0.9986,3.37,0.58,10.3,F
457,0.097,0.9988,3.28,0.58,9.6,F
458,0.084,0.9998,3.26,0.74,11.2,D
459,0.07400000000000001,1.0008,3.25,0.57,9.0,H
460,0.083,0.9976,3.35,0.61,11.3,E
461,0.087,0.9982,3.26,0.61,9.3,F
462,0.085,0.997,3.18,0.61,11.8,F
463,0.098,0.9972,3.08,0.53,9.0,F
464,0.084,0.9987,2.98,0.7,9.2,E
465,0.098,1.0006,3.48,0.91,9.7,F
466,0.069,0.9982,3.16,0.72,11.5,E
467,0.065,0.9947,3.32,0.79,14.0,E
468,0.09,1.0,3.17,0.62,9.2,E
469,0.07,0.9952,3.2,0.58,9.8,F
470,0.093,0.9996,3.05,0.61,10.6,F
471,0.081,0.997,3.2,0.71,11.4,E
472,0.083,0.9995,3.15,0.82,10.4,E
473,0.062,0.9971,3.26,0.79,10.6,F
474,0.08,0.9982,3.2,0.89,9.4,E
475,0.087,0.9988,3.14,0.6,10.2,F
476,0.091,0.998,3.28,0.7,9.7,F
477,0.075,0.9977,3.18,1.06,11.0,E
478,0.087,0.9988,3.14,0.6,10.2,F
479,0.077,0.9984,3.19,0.7,10.1,E
480,0.069,1.0026,3.12,0.66,9.2,F
481,0.08,0.9964,3.15,0.92,11.7,C
482,0.152,0.9986,3.04,1.05,9.4,F
483,0.152,0.9986,3.04,1.06,9.4,F
484,0.114,0.997,3.06,0.66,13.4,E
485,0.054000000000000006,0.9976,3.17,0.47,10.0,F
486,0.054000000000000006,0.9976,3.17,0.47,10.0,F
487,0.053,0.9982,3.17,0.42,10.0,E
488,0.081,1.0002,3.32,0.92,10.8,D
489,0.073,0.9984,3.34,0.75,10.2,E
490,0.078,0.9984,3.31,0.67,10.6,E
491,0.055,0.9952,3.34,0.79,13.3,D
492,0.052000000000000005,0.995,3.32,0.9,13.4,D
493,0.086,1.0002,3.48,0.74,11.6,E
494,0.051,0.9952,3.44,0.55,12.1,E
495,0.07,0.9972,3.15,0.65,11.0,C
496,0.081,0.9984,3.43,0.65,9.0,E
497,0.09,0.9966,3.32,0.79,11.1,F
498,0.07,0.9972,3.15,0.65,11.0,C
499,0.086,1.0002,3.48,0.74,11.6,E
500,0.081,0.9984,3.43,0.65,9.0,E
501,0.07400000000000001,0.999,3.17,0.85,12.0,D
502,0.07400000000000001,0.999,3.17,0.85,12.0,D
503,0.078,0.9976,3.18,1.04,10.9,D
504,0.077,0.9976,3.21,1.05,10.8,D
505,0.07200000000000001,0.9968,3.16,0.78,12.5,D
506,0.075,0.9976,3.25,1.02,10.8,D
507,0.084,1.0,3.17,0.71,9.5,E
508,0.09,0.9994,3.18,0.63,10.2,E
509,0.084,0.9986,3.04,0.68,11.4,D
510,0.073,0.9978,3.02,0.61,9.5,F
511,0.09,0.9994,3.18,0.63,10.2,E
512,0.125,0.998,3.03,0.81,9.7,E
513,0.107,0.9973,3.09,0.66,11.8,D
514,0.107,0.9973,3.09,0.66,11.8,D
515,0.122,1.001,3.31,1.14,9.3,F
516,0.1,1.001,3.25,0.74,11.9,E
517,0.2,0.9994,3.16,0.63,8.4,H
518,0.08800000000000001,0.9972,3.22,0.68,11.7,E
519,0.08800000000000001,0.9966,3.36,0.78,11.0,F
520,0.08800000000000001,0.9982,3.42,0.9,10.0,E
521,0.08800000000000001,0.998,3.48,0.64,9.1,F
522,0.099,0.9979,3.38,0.99,9.8,F
523,0.085,0.9978,3.22,0.55,9.4,F
524,0.086,0.9976,3.23,0.64,9.5,F
525,0.105,0.9998,3.24,0.67,9.9,F
526,0.08800000000000001,0.9966,3.36,0.78,11.0,F
527,0.097,0.9962,3.39,0.77,11.4,E
528,0.084,0.9988,3.34,0.75,8.7,E
529,0.077,0.9974,3.09,0.57,9.4,F
530,0.078,0.999,3.41,0.87,10.3,E
531,0.098,1.0004,3.16,0.61,10.3,F
532,0.098,1.0004,3.16,0.61,10.3,F
533,0.07200000000000001,0.9956,3.22,0.66,12.8,E
534,0.102,1.0,3.28,0.56,10.0,E
535,0.078,0.999,3.41,0.87,10.3,E
536,0.077,0.9974,3.09,0.57,9.4,F
537,0.084,0.9972,3.37,0.77,10.7,E
538,0.066,1.0014,3.2,0.66,12.0,D
539,0.1,0.9996,3.22,0.62,11.2,F
540,0.101,0.9988,3.26,0.67,9.6,F
541,0.064,0.9988,3.21,0.73,11.0,E
542,0.07,0.9966,3.12,0.59,9.9,F
